intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
# INSTRUCTIONS:,,,,,,
# intermediary_name,"Required. One of: Alma, Grow Therapy, Headway",,,,,
# payer_name,Optional. Leave blank for platform-wide rate,,,,,
# state,Optional. Default FL. Leave blank for national,,,,,
# allowed_amount,Required. Provider take-home $ (e.g. 145.00),,,,,
# effective_date,Optional. YYYY-MM-DD,,,,,
# notes,Optional free text,,,,,
,,,,,,
Alma,Aetna,99214,AK,,4/6/26,Est patient E/M moderate complexity
Alma,Aetna,99215,AK,,4/6/26,Est patient E/M high complexity
Alma,Aetna,90833,AK,,4/6/26,Add-on psychotherapy 30 min with E/M
Alma,Aetna,90836,AK,,4/6/26,Add-on psychotherapy 45 min with E/M
Alma,Aetna,90838,AK,,4/6/26,Add-on psychotherapy 60 min with E/M
Alma,Aetna,99204,AK,,4/6/26,New patient E/M mod-high complexity
Alma,Aetna,99205,AK,,4/6/26,New patient E/M high complexity
Alma,Aetna,90785,AK,,4/6/26,Interactive Complexity
,,,,,,
Alma,BCBS - Massachusetts (virtual network),99214,AK,,4/6/26,Est patient E/M moderate complexity
Alma,BCBS - Massachusetts (virtual network),99215,AK,,4/6/26,Est patient E/M high complexity
Alma,BCBS - Massachusetts (virtual network),90833,AK,,4/6/26,Add-on psychotherapy 30 min with E/M
Alma,BCBS - Massachusetts (virtual network),90836,AK,,4/6/26,Add-on psychotherapy 45 min with E/M
Alma,BCBS - Massachusetts (virtual network),90838,AK,,4/6/26,Add-on psychotherapy 60 min with E/M
Alma,BCBS - Massachusetts (virtual network),99204,AK,,4/6/26,New patient E/M mod-high complexity
Alma,BCBS - Massachusetts (virtual network),99205,AK,,4/6/26,New patient E/M high complexity
Alma,BCBS - Massachusetts (virtual network),90785,AK,,4/6/26,Interactive Complexity
,,,,,,
Alma,Carelon,99214,AK,,4/6/26,Est patient E/M moderate complexity
Alma,Carelon,99215,AK,,4/6/26,Est patient E/M high complexity
Alma,Carelon,90833,AK,,4/6/26,Add-on psychotherapy 30 min with E/M
Alma,Carelon,90836,AK,,4/6/26,Add-on psychotherapy 45 min with E/M
Alma,Carelon,90838,AK,,4/6/26,Add-on psychotherapy 60 min with E/M
Alma,Carelon,99204,AK,,4/6/26,New patient E/M mod-high complexity
Alma,Carelon,99205,AK,,4/6/26,New patient E/M high complexity
Alma,Carelon,90785,AK,,4/6/26,Interactive Complexity
,,,,,,
Alma,Cigna,99214,AK,,4/6/26,Est patient E/M moderate complexity
Alma,Cigna,99215,AK,,4/6/26,Est patient E/M high complexity
Alma,Cigna,90833,AK,,4/6/26,Add-on psychotherapy 30 min with E/M
Alma,Cigna,90836,AK,,4/6/26,Add-on psychotherapy 45 min with E/M
Alma,Cigna,90838,AK,,4/6/26,Add-on psychotherapy 60 min with E/M
Alma,Cigna,99204,AK,,4/6/26,New patient E/M mod-high complexity
Alma,Cigna,99205,AK,,4/6/26,New patient E/M high complexity
Alma,Cigna,90785,AK,,4/6/26,Interactive Complexity
,,,,,,
